command,scope,metric,bytes,dimensions_json
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,opening,685,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""1065539"",""position"":""565538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,claim,715,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""1065539"",""position"":""565538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,root,48,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""1065539"",""position"":""565538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,request,191,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""1065539"",""position"":""565538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,output,30,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""1065539"",""position"":""565538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,opening,685,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""1065539"",""position"":""565538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,claim,715,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""1065539"",""position"":""565538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,root,48,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""1065539"",""position"":""565538""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,state_root,32,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""predecessor"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,forced_recovery_opening,850,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""predecessor"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,membership_proof,810,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""predecessor"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,membership_lookup,819,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""predecessor"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,exclusion_proof,851,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""predecessor"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,exclusion_lookup,852,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""predecessor"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing challenge:,challenge,943,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""kind"":""debit""}"
002-sizes-1000000-1000000-512-1,clearing challenge:,challenge,994,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""kind"":""entry""}"
002-sizes-1000000-1000000-512-1,clearing challenge:,challenge,417,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""kind"":""fork""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,state_root,32,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""successor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,forced_recovery_opening,884,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""successor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,membership_proof,844,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""successor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,membership_lookup,853,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""successor_after_apply"",""family"":""MMB""}"
